x,y,LOCAL_YEAR,COOLING_DEGREE_DAYS,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,HEATING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,MIN_TEMPERATURE,SPEED_MAX_GUST_FLAG,ID,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,LOCAL_DATE,MIN_TEMPERATURE_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE,STATION_NAME,SNOW_ON_GROUND,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,MAX_TEMPERATURE,PROVINCE_CODE,MAX_REL_HUMIDITY
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.1,,0.0,,,,2017-01-01,,1,,,,,TORONTO,7.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,1.4,,0.0,,,6158350,1,,,6158350.2017.1.2,,1.4,,,,2017-01-02,,2,,,,,TORONTO,6.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,10.2,,0.0,,,6158350,1,,,6158350.2017.1.3,,10.2,,,,2017-01-03,,3,,,,,TORONTO,5.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.4,,0.0,T,,,2017-01-04,,4,,,,,TORONTO,3.0,,,,T,T,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.5,,0.0,,,,2017-01-05,,5,,,,,TORONTO,1.0,,,,T,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.6,T,0.0,,,,2017-01-06,,6,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.7,T,0.0,,,,2017-01-07,,7,,,,,TORONTO,0.0,,,,T,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.8,,0.0,,,,2017-01-08,,8,,,,,TORONTO,0.0,,,,T,,,ON,
-79.4,43.66666666666666,2017,,0.0,,3.0,,,6158350,1,,,6158350.2017.1.9,,1.8,,,,2017-01-09,,9,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,16.3,,1.0,,,6158350,1,,,6158350.2017.1.10,,17.3,,,,2017-01-10,,10,,,,,TORONTO,3.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,17.8,,0.0,,,6158350,1,,,6158350.2017.1.11,,17.8,,,,2017-01-11,,11,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,1.4,,0.0,,,6158350,1,,,6158350.2017.1.12,,1.4,,,,2017-01-12,,12,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.13,T,0.0,,,,2017-01-13,,13,,,,,TORONTO,0.0,,,,T,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.14,T,0.0,,,,2017-01-14,,14,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.15,T,0.0,,,,2017-01-15,,15,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,3.4,,0.0,,,6158350,1,,,6158350.2017.1.16,T,3.4,,,,2017-01-16,,16,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,7.2,,0.0,,,6158350,1,,,6158350.2017.1.17,T,7.2,,,,2017-01-17,,17,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.18,T,0.0,,,,2017-01-18,,18,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.19,,0.0,,,,2017-01-19,,19,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.2,,0.0,,,6158350,1,,,6158350.2017.1.20,,0.2,,,,2017-01-20,,20,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.21,,0.0,,,,2017-01-21,,21,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.22,,0.0,,,,2017-01-22,,22,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.23,,0.0,,,,2017-01-23,,23,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.6,,0.0,,,6158350,1,,,6158350.2017.1.24,,0.6,,,,2017-01-24,,24,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,2.2,,0.0,,,6158350,1,,,6158350.2017.1.25,,2.2,,,,2017-01-25,,25,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.26,,0.0,,,,2017-01-26,,26,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.27,,0.0,,,,2017-01-27,,27,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.6,,,6158350,1,,,6158350.2017.1.28,,0.6,,,,2017-01-28,,28,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.29,T,0.0,,,,2017-01-29,,29,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.30,,0.0,,,,2017-01-30,,30,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,1,,,6158350.2017.1.31,,0.4,,,,2017-01-31,,31,,,,,TORONTO,0.0,,,,T,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,2,,,6158350.2017.2.1,T,0.0,,,,2017-02-01,,1,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,2,,,6158350.2017.2.2,,0.0,,,,2017-02-02,,2,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,2,,,6158350.2017.2.3,,0.0,,,,2017-02-03,,3,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,2,,,6158350.2017.2.4,,0.0,,,,2017-02-04,,4,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.8,,,6158350,2,,,6158350.2017.2.5,,0.8,,,,2017-02-05,,5,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,2,,,6158350.2017.2.6,T,0.0,,,,2017-02-06,,6,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,15.4,,0.0,,,6158350,2,,,6158350.2017.2.7,T,15.4,,,,2017-02-07,,7,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,2,,,6158350.2017.2.8,,0.0,,,,2017-02-08,,8,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,0.0,,,6158350,2,,,6158350.2017.2.9,T,0.0,,,,2017-02-09,,9,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,6.0,,,6158350,2,,,6158350.2017.2.10,T,5.0,,,,2017-02-10,,10,,,,,TORONTO,0.0,,,,,,,ON,
-79.4,43.66666666666666,2017,,0.0,,9.6,,,6158350,2,,,6158350.2017.2.11,,9.8,,,,2017-02-11,,11,,,,,TORONTO,7.0,,,,,,,ON,
